"","text"
"1","Let me correct this common misconception:
Armed Forces Day celebrates active duty.
Veteran's Day celebrates vets. M… https://t.co/kpDH0j7Ob0"
"2","@richard2380 @ClaudiaOdell2 Exactly as they planned. Texas kids and families will suffer even more."
"3","@RonFilipkowski His daddy loves him even less now. 😆😆😆"
"4","@DougWahl1 Some of his lawyers think so."
"5","@Nerzog999 Well said. When corporations and the wealthy are properly taxed, they expand and create new jobs which b… https://t.co/sGpsDSU76k"
"6","@StacyAndy4 It's weird, isn't it? My follower count hasn't changed for months, neither has the number of people I f… https://t.co/z8FcNQEXwU"
"7","@TommasinaResist That tells us all we need to know about her thinking."
"8","If you're fed up with Republicans hurting the American people to benefit their billionaire and corporate overlords,… https://t.co/yKBj50W1bR"
"9","@Nerzog999 That's what we did the last two times the GOP pulled this crap. Also why Newt Gingrich and Paul Ryan are… https://t.co/jcwk8zIXcq"
"10","@DougWahl1 Really bad terminology for police reform."
"11","And these outrageous demands is why we're on the brink of default. https://t.co/VawmNQZtSb"
"12","@Mollyploofkins Don Fransisco 100% Columbian Supremo. Decent coffee, affordably priced at Walmart. I'm frugal."
"13","@EmilioRose9 Report that person and block them from your feed. It's the only way to handle bullies here. If I see it I'll report it too."
"14","@gggirl924 I'd feel so much safer if everyone was using self driving cars. Human negligence is the cause of most ac… https://t.co/UA1listNBd"
"15","And Americans will blame @SpeakerMcCarthy and the GOP if default happens. Democrats wouldn't hurt people this way. 
https://t.co/yaMg1Jhpda"
"16","@RadarResist I think it's time the rest of us jump in and confront the bastards. Send a message we will not stand f… https://t.co/kDtt3YYJ67"
"17","@gscucci Didn't he shoot his eye out?"
"18","@297_ArubaLover DeSatan."
"19","@KwikWarren That's ok. Whites have dominated as Pentagon heads throughout our history. It's time we step aside."
"20","It does my heart good to see the civilian organizers of J6 be held accountable. Up next: members of Congress? Or wi… https://t.co/vnC37tfFwF"
"21","@rex197878 That's a head of catbage!"
"22","@lolrh1 She made excuses, she's helping the abuser."
"23","@BlueOc1981 Maybe you're reinfected. Have you tested?"
"24","When one parent is abusive it's often the case their partner enables by covering up or excusing the abuse. https://t.co/xGb5TlDkGC"
"25","@bruce_steiner The FBI is working it's way up the food chain. Rhodes is just the first of many."
"26","@JerryBurton15 Nah. Let Stewart face his new reality. Show him the mercy he showed LE on J6."
