# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"","text"
"1","@giftgab538 @kittenaround_51 Amen ❤️🌹❣️🇺🇸 https://t.co/lUzsyedQQf"
"2","@HouseGOP https://t.co/02MNQjV9pm"
"3","@catturd2 https://t.co/6x7uNagEvl"
"4","@RealJamesWoods https://t.co/4LXLFNFZa1"
"5","@gatewaypundit https://t.co/CbgKOLo0rG"
"6","@MayraFlores2022 https://t.co/CQtOOoSB9M"
"7","@MayraFlores2022 https://t.co/DY87Vl5hiL"
"8","@gatewaypundit RIP https://t.co/RHig1XWVks"
"9","https://t.co/GBdok3cGPh"
"10","@BeachcatTt @Christi50182606 https://t.co/AGGh0E1cE8"
"11","https://t.co/tKpIIOAmz9"
"12","https://t.co/hQ7BOrU1Q0"
"13","@NCMuscleCars001 @reneemize3 @Travis_in_Flint @FrancieShuder https://t.co/z56EHyzA47"
"14","@RealJamesWoods Give me 5 min wth that blob 🤬🤬🤬"
"15","@ImMeme0 @ProudElephantUS https://t.co/tLOF2bf8JU"
"16","@toddandmeg17 @gatewaypundit @catturd2 @realDonaldTrump https://t.co/iJ2VFnTsSI"
"17","@AmandaLarreni Agreed 👍🏻"
"18","@gatewaypundit https://t.co/7a3JSJNM9M"
"19","@TMZ https://t.co/gds6a1CEPl"
"20","@marklevinshow https://t.co/141FiXvk3a"
"21","@GovAbbott https://t.co/KMAYi3Lxkl"
"22","@FoxNews @KenPaxtonTX https://t.co/dtdoXOdFmq"
"23","@KenPaxtonTX https://t.co/6iTK0VP0YA"
"24","@The_Trump_Train Ron DeSantis ‼️‼️‼️‼️🗳️🗳️🗳️🗳️🗳️🗳️🗳️🗳️🗳️✅✅✅✅✅✅✅✅"
"25","@NEWSMAX @nebing https://t.co/MsO07usuno"
"26","@realannapaulina Thank You for standing up for The People ‼️‼️‼️✅✅✅✅✅✅ https://t.co/rSenz9Y407… https://t.co/rSenz9Y407"
"27","@DineshDSouza https://t.co/B2jNudDBlh"
"28","@catturd2 @MayraFlores2022 https://t.co/bxTcBu8EIl"
"29","@thedailyrabbit https://t.co/6iVmdTWLwH"
"30","@thedailyrabbit https://t.co/Q8kQlGgBCx"
"31","@LauraLoomer @Rightwingmadman @NoorBinLadin https://t.co/aWWFLwKxs3"
"32","@TMZ https://t.co/NQRWjgr3VN"
"1","Is no one paying attention to the hearings? I'm really confused as to what people expect them to do when DemoRATS h… https://t.co/SL3DA4ycYh"
"2","Add Walmart to the list. They are pushing this shit in AR schools in Fayetteville and Bentonville. https://t.co/nPbJyOzdBn"
"3","What this really shows is how stupid a lot of New Yorkers are. I can't believe the number of people still cheering… https://t.co/QqM2OxbixR"
"4","TX is looking bluer by the day https://t.co/u2OrzRDyMt"
"5","Of course he'd lie about it. Doesn't want anyone looking into him. I didnt follow politics back when he got voted i… https://t.co/TLfL8LQdA9"
"6","https://t.co/GilDRBuiwx https://t.co/WhxbCze5Ud"
"7","@BadFradzz Yeah, I think they aquired them a while ago. They own a lot of other ones too. 
https://t.co/GQHfwuk6iv"
"8","https://t.co/76nwnkMskJ https://t.co/WgBdsdwssU"
"9","@JonSchweppe what a vile piece of shit. THIS is the evil of the left. Uses a video that's old and was from left win… https://t.co/SQS0XgGtla"
"10","They can do that. Let's see how long the brand lasts with only the LGBTQ@%$*^@ community supporting it. On a side n… https://t.co/GK9G3xnLd4"
"11","I see at least one if these everyday, I love the libs that try to say its not dangerous in the metro. https://t.co/87QZ7GswF6"
"12","https://t.co/ptDHHaEejA
@CandaceOwensPod @RealCandaceO is the absolute best!"
"13","In Austin!? Lol https://t.co/Lv4ptysGA6 https://t.co/56qlmFQqpr"
"14","Hmm...its almost as if this doesn't work. https://t.co/IFJ1U8uhwp"
"15","What a freaking joke. https://t.co/0HsacQqPAp"
"16","Its two fold caue you have Jojo the idiot circus boy AND the dick bag Leo. Lol"
"17","https://t.co/CZz2D2eQBP https://t.co/aEkF12Xh4e"
"18","Get out of blue cities and states! https://t.co/w7D7EP6lhJ"
"19","Add North Face to the list. https://t.co/mFp3flj91a"
"20","@AwakenedOutlaw I did a few transists through the canal on a carrier. Its painstakingly slow."
"21","https://t.co/OurN746lVT https://t.co/kioHKMkhYP"
"22","With bipartisan support! Lol. Isn't that how the DemoRATS do it? https://t.co/EQUB1DQJeQ"
"1","@DC_Draino Because he plans to CHEAT using his beloved Dominion FRAUD machines."
"2","@Tayloh25 @bennyjohnson WE CARE, moron"
"3","STOP SHOPPING AT TARGET! They bought in to this VILE CRAP, &amp; NOW THEY MUST GO DOWN. Removing the #LGBTQ insignias I… https://t.co/4FsbiGjjQi"
"4","@realDonaldJNews YES!"
"5","Major INTEL drops with #JuanOSavin &amp; #JamesGrundvig. Tribunals, Tribunals, Tribunals.
https://t.co/H40jeIM1q8"
"6","@VernonForGA NO!
And I won't!"
"7","Child Sex Traff!cking Is The Real #Pndemic 
I know it’s tough to acknowledge the horrible evil that is among us bu… https://t.co/OSGGs0BOdx"
"8","@doqholliday Woooooo Hoooooo!
""Where We Go One We Go WorldWide!"""
"9","@MattWallace888 Awesome work!"
"10","@realDonaldJNews YES!"
"11","@MattWallace888 Zuckerberg is going to prison (if he's not already there). Totally NOT credible."
"12","@BeetaBaran @MattWallace888 Money laundering, that's why."
"13","SURPRISE! Former Aide to AOC Now Running the Communist Party of New York | The Gateway Pundit | by Mike LaChance https://t.co/3N0Uqt2r1B"
"14","@kylenabecker I'm not surprised. Just look at him! He HATES everything, probably himself, especially."
"15","@ElonMusk....fyi, you picked a WEF Globalist, vaccine depopulation supporter to head up Twitter....same as what you… https://t.co/tUzPPm8ur8"
"16","AWFUL. Following CNN-Trump Debate Team DeSantis Announces Support for Political Prosecutions by FBI-DOJ, #Lawfare A… https://t.co/9OZvCeiftV"
"17","@gc22gc HOLD THE LINE! #NoFear whatsoever!"
"18","@gc22gc And we have #DeSantis this morning threatening to arrest &amp; prosecute his opposition, as per Gateway Pundit."
"19","@gc22gc Absolutely Appalling. 🤬🤬"
"20","Here's the cause of #Surfside.
https://t.co/57KD05QHfy"
"21","The #Constitution DOES NOT MENTION any government AGENCY and, in fact, every existing government agency has betraye… https://t.co/zn47jiHFsV"
"22","#DIVERSITY is one word I truly DETEST. Diversity signifies FORCIBLE #interference and #manipulation.  It is the opp… https://t.co/iiylb7aWBj"
"23","This is WHY #LGBTQIA+ must be 100% #BANNED:
The goal is to #convert your #KIDS to this SICK, #SATANIC lifestyle. W… https://t.co/WimYp9TWli"
"24","Why are the #CNN #FakeNews ""journalists"" always LITTLE and grossly overweight? They obviously have no confidence in… https://t.co/0AHc5lghe9"
"25","https://t.co/DGZJuiLrLB"
"26","NO BRAIN = NO BRAIN FREEZE. https://t.co/Ysq46KCKJh"
"27","#TRUTH! https://t.co/fltWO5VliB"
"28","#Communists are the WORST people in the world!! I'm really not sure they're human though.
""… https://t.co/m1QiKreC2k"
"29","#X22Report:
""#Congress and #BigTech KNOWINGLY #Colluded and VIOLATED the RIGHTS of the PEOPLE; #War.""
https://t.co/qJmNQx9BUS"
"30","#StewPeters is a GREAT advocate for us #Patriots!
""What Is GRAPHENE OXIDE?
Main Ingredient in #Pfizer,… https://t.co/h75qqA7A2T"
"31","#MikeAdams, ""Situation Update,""
HEALTH RANGER REPORT:
This is what's coming if we don't stop it asap!
""GOV'T… https://t.co/xteHZg0q1k"
"32","@RealMattCouch Masks don't stop viruses, so neither kids nor adults need to wear them! The CDC morons should just S… https://t.co/BhuBYJ0OXh"
"33","@AP PLUS, the #Communist #BIDEN administration, who the corrupted CDC emphatically &amp; stupidly supports, is sending… https://t.co/STFgoYoZiH"
"34","@AP Yeah right. The useless CDC doesn't have a clue. They've lied continuously &amp; changed their positions frequently… https://t.co/COgY3zx8g7"
"35","#SteveBannon:
""#BIDEN administration is RIDDLED with #CHINESE operatives.""
https://t.co/CgGg4YVaNR"
"36","Major #JeffreyPrather, 
former #DEA, DIA:
""BREAKING! Covert #CIA #Covid Kills.""
They STILL haven't isolated the CV-… https://t.co/Y2dyIahjaI"
"37","Dr. Naomi #WOLF, PhD:
""The #Tyrants are on Step 8 of their 10-Step Plan.""
Dr. Naomi Wolf used to be a hard-core… https://t.co/YYjrBDk1cC"
"38","@EpochTimes @GavinNewsom Yeah....Newsom wouldn't be doing this if not for the #recall! He's a FAKE, a FRAUD, and a… https://t.co/oq6dif05VN"
"39","@VeBo1991 @EricMMatheny Take Down the #CCP!"
"40","Joel #Fuhrman MD:
""Combatting #Cancer &amp; #Autoimmune Disease Without Drugs.""
The DRUGS are intended to keep you SI… https://t.co/2X0dGH79Vc"
"41","@gregkellyusa Dr. Judy #Mikovitz
THERE IS AN #ANTIDOTE!!
"42","Dr. Judy #Mikovitz
THERE IS AN #ANTIDOTE!!
The Co… https://t.co/oStE3fqQ1u"
"43","Ugh. Where do they find these creeps? It's unbelievable! https://t.co/RNrN6T1WWd"
"44","#MikeAdams,
HEALTH RANGER REPORT:
Situation Update:
""#America Becoming #Venezuela Meets #TrumanShow.""
https://t.co/pa5vQ7QSYH"
