"","text"
"1","Seriously? The Dems won't budge on work requirements for able bodied single people with no dependents? Then you'll… https://t.co/NxFRPF85Hn"
"2","Is this the new Democrat plan to reduce prison population? https://t.co/bYSpY1uNLd"
"3","I don't have a problem with losing my governor as long as he or Trump become out next POTUS. Ron did an excellent j… https://t.co/fSA2DdhEOV"
"4","@TonyLewis1953 I didn't vote in Chicago, I live in the free state of FL. Regardless, my vote isn't always the way t… https://t.co/Qvvij1iXUL"
"5","See what you can do when you exploit your natural resources instead of declaring war on fossil fuels? America could… https://t.co/EgmerJdojj"
"6","@elonmusk When are you going to allow longer post so I don't have to turn my text into a photo to post? Is there a… https://t.co/wVijurenCg"
"7","https://t.co/w0dasly5as"
"8","This is actually footage of the BLM rioters looting Target after George Floyd's death. Conservatives didn't destroy… https://t.co/2rz6KYnPvE"
"9","We could give our kids a better education at a much lower cost than we're spending now just by privatizing all publ… https://t.co/yOp33N5vce"
"10","@anisafhatimah If you can't see the evidence, then you must be one of them. I can name 100's of example of progress… https://t.co/EV6nglFRgu"
"11","@elonmusk I'll be the first to volunteer for the brain chip that will keep me permanently connected to the internet… https://t.co/wtNGXAZ1FA"
"12","This is insane. They are attacking banks in NY for not doing enough to satisfy their crazy ESG requirements. https://t.co/Sy9hQoqo56"
"13","Study proved what we already knew; progressives are fucking lunatics. https://t.co/UwjV2xGeH5"
"14","Great country, as long as you weren't born here. https://t.co/GZuWxNvhva"
"15","Bideninflation has made our savings worth 80 cents on the dollar as well as giving workers a pay CUT every month he… https://t.co/s2HcprQUxc"
"16","So, what is Biden implying when he says the rich should pay their fair share? Is he saying they are cheating on the… https://t.co/8NBuxAVNKn"
"17","@WesleyHuntTX https://t.co/5veTmRpTlA"
"18","A good reason to vote FOR DeSantis. https://t.co/iFmhAxtKyA"
"19","Think the Democrats can cheat their way into the WH again with numbers this bad? https://t.co/7uycOzeomi"
"20","She actually said this. https://t.co/YksvmC9vdG"
"21","https://t.co/hvwDyc9dtN"
"22","I'm wondering which of the following knows how to waste money the fastest: 1. Sam Bankman Freid, 2. BLM, or 3. Our Federal Government."
"23","@TeamPelosi Or how about a few Democrat Senators come to their senses and pass the House Bill that the majority of… https://t.co/KvVp8CbKQK"
"24","When the tide turns, and honest people are once again openly enraged and demanding action, we are going to learn ju… https://t.co/n7uM50FQwK"
"25","The Durham report had an impact because it began to build a narrative of such institutional illegality and corrupti… https://t.co/usYAZZAhyi"
"26","DOJ/FBI are now so corrupted that their senior leadership is willing to break the law, frame the innocent, and obst… https://t.co/8SXWMwlD7Y"
"27","Garland’s also done nothing with the clear references to ‘the big guy’ in various Hunter Biden emails. He’s ignored… https://t.co/A7od77P1L6"
"28","AG Garland has turned a blind eye to every report of foreign money going to the Biden family ($3 million in one Chi… https://t.co/kLTLZMiIH5"
"29","AG Garland seems to be doing a lot more obstructing of justice than upholding the law. Garland’s Justice Department… https://t.co/r2Pe35kexa"
"30","It is clear from the Durham Report and the work of House Republican hearings that the current scandals in the Biden… https://t.co/SmLoL1AC6D"
"31","@Judynel88204719 Don't worry, SS will not be delayed, that's only a tactic by the left. https://t.co/uVZusgiBvs"
"32","And he tries to tell his useful idiots that the MAGA Republicans, who did more for blacks than any Democrat in hist… https://t.co/cm0c51NeF5"
"33","Don't allow any leftie's to LIE and claim Trump's tax cuts are what caused the debt to explode. Revenues actually r… https://t.co/92HhXuJLu1"
"34","https://t.co/BkVJcDGdSL"
"35","https://t.co/6cV7bB2cKq"
"36","Beware black people, don't come to FL for vacation, it's too dangerous. Instead, go to a much safer destinations li… https://t.co/1ZadUmyr2a"
"37","@KariLakeWarRoom What a rip-off."
"38","Globalists want to homogenize America with the rest of the world. What will that mean to Americans prosperity?
-Ave… https://t.co/8ULt2z1Vqh"
"39","@TristanSnell BULLSHIT #2: When Trump took office in January 2017, the national debt was $19.9 trillion, according… https://t.co/rAF2bswnib"
"40","@TristanSnell BULLSHIT. National Debt Debt Held by the Public at the end of January 2021: $21.6 trillion
📷… https://t.co/VsPeCEXj8c"
"41","I just don't understand why any young people vote for Democrats. They're spending your future away. Each taxpayer's… https://t.co/IjFUAO6ZB9"
"42","https://t.co/aQ8QECgfDG"
"43","Remember in the 80's when we were all going to die from the growing hole in the ozone layer? Seems it's just fine n… https://t.co/NblK40Vqmh"
